question,qcode,group,ID,Correct,E1,Diff,C1,E2,C2,AEE1i,AEE2i,Ii
jellybean2,101,79,38286,888,375,5,3,350,3,513,538,0
jellybean2,101,79,45851,888,350,5,3,350,5,538,538,0
jellybean2,101,79,48147,888,1000,6,4,800,3,112,88,1
jellybean2,101,80,47505,888,750,3,5,750,5,138,138,0
jellybean2,101,80,43307,888,1100,5,3,700,4,212,188,1
jellybean2,101,80,44194,888,360,5,5,525,5,528,363,1
jellybean2,101,80,48388,888,227,3,5,394,5,661,494,1
jellybean2,101,80,48725,888,347,7,2,472,3,541,416,1
jellybean2,101,81,49183,888,574,4,5,532,5,314,356,0
jellybean2,101,81,43305,888,400,5,5,476,5,488,412,1
jellybean2,101,81,45893,888,850,5,4,525,5,38,363,0
jellybean2,101,81,31758,888,200,5,3,475,2,688,413,1
jellybean2,101,82,46096,888,562,5,5,562,5,326,326,0
jellybean2,101,82,45622,888,380,5,3,409,3,508,479,1
jellybean2,101,82,46037,888,300,5,4,500,4,588,388,1
jellybean2,101,82,46007,888,400,4,5,500,4,488,388,1
jellybean2,101,83,45999,888,575,5,2,500,4,313,388,0
jellybean2,101,83,43112,888,300,4,4,400,4,588,488,1
jellybean2,101,83,49217,888,450,4,5,480,5,438,408,1
jellybean2,101,83,40947,888,5000,5,4,700,4,4112,188,1
jellybean2,101,84,16387,888,404,7,3,650,2,484,238,1
jellybean2,101,84,49504,888,800,5,3,1200,3,88,312,0
jellybean2,101,84,44807,888,1000,5,4,1000,5,112,112,0
jellybean2,101,84,49368,888,1000,7,3,1000,3,112,112,0
jellybean2,101,85,46776,888,740,3,5,740,5,148,148,0
jellybean2,101,85,48809,888,400,6,2,500,3,488,388,1
jellybean2,101,85,49759,888,500,6,2,500,3,388,388,0
jellybean2,101,85,48085,888,480,5,3,660,3,408,228,1
jellybean2,101,86,36285,888,700,6,2,950,2,188,62,1
jellybean2,101,86,48346,888,745,6,3,870,4,143,18,1
jellybean2,101,86,48021,888,750,6,5,780,5,138,108,1
jellybean2,101,86,46515,888,1000,5,4,1200,4,112,312,0
jellybean2,101,86,46988,888,1000,5,4,1024,4,112,136,0
jellybean2,101,87,48984,888,200,4,4,220,4,688,668,1
jellybean2,101,87,46189,888,420,7,2,410,2,468,478,0
jellybean2,101,87,49211,888,150,5,4,175,3,738,713,1
jellybean2,101,87,43541,888,500,5,4,400,3,388,488,0
jellybean2,101,88,44507,888,234,4,4,250,4,654,638,1
jellybean2,101,88,49231,888,600,5,3,350,3,288,538,0
jellybean2,101,88,43682,888,200,7,2,212,2,688,676,1
jellybean2,101,88,49809,888,365,6,4,365,4,523,523,0
jellybean2,101,89,48558,888,825,6,2,800,2,63,88,0
jellybean2,101,89,49755,888,480,5,4,500,4,408,388,1
jellybean2,101,89,42963,888,1000,6,3,1000,3,112,112,0
jellybean2,101,89,42234,888,576,6,4,600,3,312,288,1
jellybean2,101,90,46221,888,250,4,5,350,4,638,538,1
jellybean2,101,90,45295,888,275,5,4,375,5,613,513,1
jellybean2,101,90,45524,888,225,6,2,400,5,663,488,1
jellybean2,101,90,36251,888,800,7,2,375,4,88,513,0
jellybean2,101,91,48548,888,1400,5,4,800,4,512,88,1
jellybean2,101,91,41492,888,400,6,3,800,4,488,88,1
jellybean2,101,91,43535,888,425,6,5,800,6,463,88,1
jellybean2,101,91,48531,888,452,6,3,800,5,436,88,1
jellybean2,101,91,48817,888,750,5,3,800,3,138,88,1
jellybean2,101,92,1164,888,250,3,5,300,5,638,588,1
jellybean2,101,92,45807,888,800,6,4,550,4,88,338,0
jellybean2,101,92,49131,888,250,5,2,350,2,638,538,1
jellybean2,101,92,46550,888,1010,5,5,752,4,122,136,0
jellybean2,101,93,48375,888,650,5,2,875,3,238,13,1
jellybean2,101,93,43358,888,900,5,5,850,5,12,38,0
jellybean2,101,93,48306,888,800,6,3,860,5,88,28,1
jellybean2,101,93,48970,888,600,6,3,850,5,288,38,1
jellybean2,101,94,49218,888,900,5,5,900,5,12,12,0
jellybean2,101,94,48620,888,550,5,3,600,3,338,288,1
jellybean2,101,94,45916,888,340,5,5,170,3,548,718,0
jellybean2,101,94,48702,888,792,5,3,700,3,96,188,0
jellybean2,101,95,49588,888,278,5,3,390,2,610,498,1
jellybean2,101,95,44351,888,550,5,2,600,3,338,288,1
jellybean2,101,95,32386,888,1000,6,2,850,4,112,38,1
jellybean2,101,95,44351,888,550,6,2,800,3,338,88,1
jellybean2,101,96,32122,888,250,6,5,300,5,638,588,1
jellybean2,101,96,49512,888,300,6,3,300,5,588,588,0
jellybean2,101,96,46226,888,210,5,4,295,5,678,593,1
jellybean2,101,96,44868,888,400,5,3,400,5,488,488,0
jellybean2,101,96,49512,888,300,4,5,330,4,588,558,1
jellybean2,101,97,49563,888,800,7,2,600,3,88,288,0
jellybean2,101,97,40318,888,420,6,2,650,3,468,238,1
jellybean2,101,97,48134,888,200,5,3,500,4,688,388,1
jellybean2,101,98,39508,888,400,4,4,500,4,488,388,1
jellybean2,101,98,44327,888,750,6,4,525,3,138,363,0
jellybean2,101,98,39508,888,400,5,5,520,5,488,368,1
jellybean2,101,98,42938,888,450,7,1,500,3,438,388,1
jellybean2,101,99,49655,888,350,6,5,375,5,538,513,1
jellybean2,101,99,30033,888,600,4,4,540,4,288,348,0
jellybean2,101,99,48931,888,375,5,3,460,6,513,428,1
jellybean2,101,99,49560,888,350,6,4,400,4,538,488,1
jellybean2,101,100,38914,888,240,6,3,310,4,648,578,1
jellybean2,101,100,42918,888,300,4,4,320,4,588,568,1
jellybean2,101,100,48689,888,360,5,2,320,3,528,568,0
jellybean2,101,100,35749,888,315,6,2,322,2,573,566,1
