question,qcode,group,ID,Correct,E1,Diff,C1,E2,C2,AEE1i,AEE2i,Ii
jellybean3,102,57,41442,185,160,5,2,180,5,25,5,1
jellybean3,102,57,29147,185,300,2,6,250,6,115,65,1
jellybean3,102,57,33246,185,160,5,3,170,5,25,15,1
jellybean3,102,57,48265,185,220,3,5,220,5,35,35,0
jellybean3,102,58,49469,185,275,4,4,160,4,90,25,1
jellybean3,102,58,41784,185,150,4,4,150,5,35,35,0
jellybean3,102,58,45669,185,175,5,5,175,5,10,10,0
jellybean3,102,58,41802,185,175,5,4,175,4,10,10,0
jellybean3,102,58,42992,185,150,5,4,150,5,35,35,0
jellybean3,102,59,48871,185,200,5,4,150,5,15,35,0
jellybean3,102,59,44302,185,320,6,4,320,4,135,135,0
jellybean3,102,59,23107,185,239,5,5,199,5,54,14,1
jellybean3,102,59,49811,185,111,5,3,173,3,74,12,1
jellybean3,102,60,46132,185,250,6,3,175,2,65,10,1
jellybean3,102,60,46991,185,225,7,1,225,1,40,40,0
jellybean3,102,60,47540,185,145,5,4,180,3,40,5,1
jellybean3,102,60,49323,185,375,5,3,275,5,190,90,1
jellybean3,102,61,41302,185,165,4,4,155,4,20,30,0
jellybean3,102,61,44915,185,150,4,3,130,5,35,55,0
jellybean3,102,61,49863,185,140,4,4,130,5,45,55,0
jellybean3,102,61,49279,185,95,3,4,135,4,90,50,1
jellybean3,102,62,46795,185,170,6,5,180,5,15,5,1
jellybean3,102,62,46018,185,540,4,4,310,4,355,125,1
jellybean3,102,62,49233,185,200,5,4,200,5,15,15,0
jellybean3,102,62,47479,185,210,5,2,200,5,25,15,1
jellybean3,102,63,46207,185,100,7,1,115,2,85,70,1
jellybean3,102,63,46295,185,185,5,5,180,5,0,5,0
jellybean3,102,63,49824,185,70,5,4,90,4,115,95,1
jellybean3,102,63,49044,185,120,6,4,130,3,65,55,1
jellybean3,102,64,49210,185,165,5,4,145,5,20,40,0
jellybean3,102,64,47551,185,85,5,4,135,5,100,50,1
jellybean3,102,64,49404,185,90,5,4,140,4,95,45,1
jellybean3,102,64,48699,185,150,3,5,150,5,35,35,0
jellybean3,102,64,45804,185,140,3,6,140,5,45,45,0
jellybean3,102,65,49617,185,80,5,4,150,4,105,35,1
jellybean3,102,65,43543,185,250,4,4,250,4,65,65,0
jellybean3,102,65,48777,185,110,5,3,130,4,75,55,1
jellybean3,102,65,44618,185,530,5,2,575,4,345,390,0
jellybean3,102,66,49665,185,112,5,5,120,5,73,65,1
jellybean3,102,66,49548,185,130,5,5,120,5,55,65,0
jellybean3,102,66,49843,185,97,5,4,123,4,88,62,1
jellybean3,102,66,46551,185,127,3,5,133,5,58,52,1
jellybean3,102,66,41405,185,250,6,2,125,4,65,60,1
jellybean3,102,67,7873,185,215,6,3,160,5,30,25,1
