question,qcode,group,ID,Correct,E1,Diff,C1,E2,C2,AEE1i,AEE2i,Ii
jellybean3,102,67,48647,185,58,5,4,76,4,127,109,1
jellybean3,102,67,48726,185,97,5,5,90,5,88,95,0
jellybean3,102,67,27235,185,75,6,3,75,2,110,110,0
jellybean3,102,68,42915,185,150,6,3,150,3,35,35,0
jellybean3,102,68,48364,185,150,5,4,150,4,35,35,0
jellybean3,102,68,47678,185,220,3,5,220,5,35,35,0
jellybean3,102,68,40540,185,125,5,3,200,5,60,15,1
jellybean3,102,69,49432,185,200,5,2,300,3,15,115,0
jellybean3,102,69,40355,185,150,5,3,150,3,35,35,0
jellybean3,102,69,47314,185,100,4,4,120,4,85,65,1
jellybean3,102,69,49215,185,197,4,5,162,5,12,23,0
jellybean3,102,69,49165,185,100,4,5,150,5,85,35,1
jellybean3,102,70,46006,185,200,5,4,160,5,15,25,0
jellybean3,102,70,40975,185,150,3,5,160,5,35,25,1
jellybean3,102,70,41436,185,165,3,2,160,6,20,25,0
jellybean3,102,70,47622,185,156,5,5,168,4,29,17,1
jellybean3,102,70,49132,185,150,4,5,157,5,35,28,1
jellybean3,102,71,48865,185,450,5,4,224,3,265,39,1
jellybean3,102,71,49727,185,200,6,4,200,5,15,15,0
jellybean3,102,71,48763,185,187,6,3,210,2,2,25,0
jellybean3,102,71,40461,185,141,5,3,156,2,44,29,1
jellybean3,102,71,47398,185,75,5,5,200,4,110,15,1
jellybean3,102,72,49787,185,180,7,1,180,2,5,5,0
jellybean3,102,72,44143,185,100,5,3,125,3,85,60,1
jellybean3,102,72,49865,185,75,4,4,180,5,110,5,1
jellybean3,102,72,49310,185,180,5,5,180,3,5,5,0
jellybean3,102,72,45727,185,250,5,5,200,5,65,15,1
jellybean3,102,73,46881,185,160,4,5,120,3,25,65,0
jellybean3,102,73,49703,185,45,3,5,75,5,140,110,1
jellybean3,102,73,44885,185,180,5,4,180,5,5,5,0
jellybean3,102,73,46627,185,80,6,3,115,5,105,70,1
jellybean3,102,73,42839,185,130,3,5,130,5,55,55,0
jellybean3,102,74,16362,185,300,7,1,175,3,115,10,1
jellybean3,102,74,45584,185,92,6,2,100,3,93,85,1
jellybean3,102,74,47778,185,84,5,5,108,5,101,77,1
jellybean3,102,74,43722,185,200,5,5,175,5,15,10,1
jellybean3,102,74,49113,185,167,5,3,163,5,18,22,0
jellybean3,102,75,48096,185,50,5,4,120,5,135,65,1
jellybean3,102,75,19077,185,325,5,5,225,5,140,40,1
jellybean3,102,75,48557,185,160,3,5,180,5,25,5,1
jellybean3,102,75,47375,185,207,4,6,205,6,22,20,1
jellybean3,102,75,49398,185,90,5,3,160,5,95,25,1
jellybean3,102,76,47537,185,200,6,5,150,5,15,35,0
jellybean3,102,76,49141,185,60,3,3,85,5,125,100,1
jellybean3,102,76,42224,185,93,5,4,100,2,92,85,1
jellybean3,102,76,48853,185,100,5,4,95,5,85,90,0
jellybean3,102,77,15312,185,190,5,5,180,5,5,5,0
jellybean3,102,77,39658,185,150,5,6,200,6,35,15,1
jellybean3,102,77,45657,185,85,6,4,140,4,100,45,1
jellybean3,102,77,49722,185,140,4,5,143,5,45,42,1
jellybean3,102,77,43682,185,60,5,4,140,3,125,45,1
jellybean3,102,78,49819,185,206,5,4,184,5,21,1,1
jellybean3,102,78,41919,185,100,6,1,180,2,85,5,1
jellybean3,102,78,42439,185,102,5,3,240,4,83,55,1
jellybean3,102,78,42912,185,130,5,5,180,5,55,5,1
jellybean3,102,78,48910,185,150,6,3,182,5,35,3,1
jellybean3,102,79,29534,185,65,3,5,175,5,120,10,1
jellybean3,102,79,38286,185,210,4,3,165,3,25,20,1
jellybean3,102,79,45851,185,150,4,4,100,4,35,85,0
jellybean3,102,79,48147,185,150,5,2,150,5,35,35,0
jellybean3,102,80,47505,185,55,3,5,200,3,130,15,1
jellybean3,102,80,43307,185,210,5,3,210,3,25,25,0
jellybean3,102,80,44194,185,110,4,6,125,5,75,60,1
jellybean3,102,80,48388,185,213,2,5,213,5,28,28,0
jellybean3,102,80,48725,185,104,6,3,128,3,81,57,1
jellybean3,102,81,49183,185,185,4,5,190,5,0,5,0
jellybean3,102,81,43305,185,145,5,5,152,5,40,33,1
jellybean3,102,81,45893,185,168,5,4,168,5,17,17,0
jellybean3,102,81,31758,185,250,5,5,225,5,65,40,1
jellybean3,102,82,46096,185,170,3,6,170,5,15,15,0
jellybean3,102,82,45622,185,119,4,3,170,4,66,15,1
jellybean3,102,82,46037,185,150,5,4,175,4,35,10,1
jellybean3,102,82,46007,185,200,4,4,160,4,15,25,0
jellybean3,102,83,45999,185,65,5,3,70,3,120,115,1
jellybean3,102,83,43112,185,150,3,4,150,4,35,35,0
jellybean3,102,83,49217,185,100,3,5,90,5,85,95,0
jellybean3,102,83,40947,185,100,4,2,85,4,85,100,0
jellybean3,102,84,16387,185,202,6,3,202,3,17,17,0
jellybean3,102,84,49504,185,60,5,5,250,5,125,65,1
jellybean3,102,84,44807,185,300,5,5,250,5,115,65,1
jellybean3,102,84,49368,185,200,6,4,240,4,15,55,0
jellybean3,102,85,46776,185,150,3,5,150,5,35,35,0
jellybean3,102,85,48809,185,120,5,3,140,3,65,45,1
jellybean3,102,85,49759,185,100,6,3,120,3,85,65,1
jellybean3,102,85,48085,185,220,5,3,180,5,35,5,1
jellybean3,102,86,36285,185,150,5,2,200,3,35,15,1
jellybean3,102,86,48346,185,187,6,5,187,5,2,2,0
jellybean3,102,86,48021,185,80,5,5,217,6,105,32,1
jellybean3,102,86,46515,185,250,5,4,225,4,65,40,1
jellybean3,102,86,46988,185,100,5,5,218,5,85,33,1
jellybean3,102,87,48984,185,100,4,5,200,4,85,15,1
jellybean3,102,87,46189,185,110,6,2,105,3,75,80,0
jellybean3,102,87,49211,185,60,5,5,60,5,125,125,0
jellybean3,102,87,43541,185,200,5,5,110,5,15,75,0
jellybean3,102,88,44507,185,123,4,4,65,4,62,120,0
jellybean3,102,88,49231,185,145,5,4,120,5,40,65,0
jellybean3,102,88,43682,185,64,6,3,77,3,121,108,1
jellybean3,102,88,49809,185,132,5,5,83,5,53,102,0
jellybean3,102,89,48558,185,198,6,5,192,5,13,7,1
jellybean3,102,89,49755,185,450,4,5,150,5,265,35,1
jellybean3,102,89,42963,185,200,5,4,200,4,15,15,0
jellybean3,102,89,42234,185,145,5,5,160,5,40,25,1
jellybean3,102,90,46221,185,100,4,5,200,5,85,15,1
jellybean3,102,90,45295,185,150,3,5,200,5,35,15,1
jellybean3,102,90,45524,185,275,3,3,200,5,90,15,1
jellybean3,102,90,36251,185,200,5,5,200,5,15,15,0
jellybean3,102,91,48548,185,250,6,4,170,4,65,15,1
jellybean3,102,91,41492,185,250,5,3,170,5,65,15,1
jellybean3,102,91,43535,185,130,4,5,170,2,55,15,1
jellybean3,102,91,48531,185,350,5,2,170,6,165,15,1
jellybean3,102,91,48817,185,78,5,4,170,3,107,15,1
jellybean3,102,92,1164,185,120,3,6,125,5,65,60,1
jellybean3,102,92,45807,185,300,6,4,150,4,115,35,1
jellybean3,102,92,49131,185,125,6,2,125,3,60,60,0
jellybean3,102,92,46550,185,150,3,6,150,4,35,35,0
jellybean3,102,93,48375,185,115,5,2,195,2,70,10,1
jellybean3,102,93,43358,185,300,5,5,250,5,115,65,1
jellybean3,102,93,48306,185,240,3,4,250,5,55,65,0
jellybean3,102,93,48970,185,700,6,3,250,4,515,65,1
jellybean3,102,94,49218,185,180,5,5,170,5,5,15,0
jellybean3,102,94,48620,185,150,6,3,145,3,35,40,0
jellybean3,102,94,45916,185,140,5,3,140,5,45,45,0
jellybean3,102,94,48702,185,100,4,3,120,3,85,65,1
jellybean3,102,95,49588,185,87,3,5,115,5,98,70,1
jellybean3,102,95,44351,185,101,4,3,100,4,84,85,0
jellybean3,102,95,32386,185,180,5,3,175,3,5,10,0
jellybean3,102,95,44351,185,200,5,2,145,3,15,40,0
jellybean3,102,96,32122,185,200,5,2,200,2,15,15,0
jellybean3,102,96,49512,185,110,5,4,150,4,75,35,1
jellybean3,102,96,46226,185,175,5,4,150,5,10,35,0
jellybean3,102,96,44868,185,70,4,5,100,5,115,85,1
jellybean3,102,96,49512,185,200,5,5,220,3,15,35,0
jellybean3,102,97,49563,185,75,6,3,100,3,110,85,1
jellybean3,102,97,40318,185,77,5,3,88,3,108,97,1
jellybean3,102,97,48134,185,100,3,4,78,5,85,107,0
jellybean3,102,98,39508,185,100,3,4,130,4,85,55,1
jellybean3,102,98,44327,185,125,5,4,135,5,60,50,1
jellybean3,102,98,39508,185,150,3,5,135,5,35,50,0
jellybean3,102,98,42938,185,150,7,4,130,5,35,55,0
jellybean3,102,99,49655,185,89,5,5,111,5,96,74,1
jellybean3,102,99,30033,185,180,3,5,160,5,5,25,0
jellybean3,102,99,48931,185,115,5,3,170,5,70,15,1
jellybean3,102,99,49560,185,100,5,5,120,5,85,65,1
jellybean3,102,100,38914,185,100,6,5,115,5,85,70,1
jellybean3,102,100,42918,185,200,4,4,150,4,15,35,0
jellybean3,102,100,48689,185,90,5,2,120,3,95,65,1
jellybean3,102,100,35749,185,176,6,2,155,2,9,30,0
