qtype,question,qcode,group,ID,Nametag,Correct,E1,Diff,C1,GC1,E2,C2,Mostaccurate,AEE1i,AEE2i,Ii,Prediction,Instruct
distances,Petersburg,29,255,50195,2,3759,7000,7,1,5,5000,5,1,3241,1241,1,5,0
distances,Petersburg,29,255,29067,3,3759,"10,000",4,2,6,4550,4,1,6241,791,1,5,0
distances,Petersburg,29,255,42963,4,3759,7000,4,1,4,7000,4,2,3241,3241,0,4,0
distances,Petersburg,29,256,44379,1,3759,8100,6,2,5,4500,3,2,4341,741,1,6,0
distances,Petersburg,29,256,46239,2,3759,8000,7,1,5,4500,5,1,4241,741,1,6,0
distances,Petersburg,29,256,45783,3,3759,9000,6,2,6,4500,3,2,5241,741,1,5,0
distances,Petersburg,29,257,50457,1,3759,5000,6,1,6,2500,3,4,1241,1259,0,5,0
distances,Petersburg,29,257,41758,2,3759,4000,7,1,3,3000,3,4,241,759,0,5,0
distances,Petersburg,29,257,37438,3,3759,8000,6,3,5,3500,4,2,4241,259,1,5,0
distances,Petersburg,29,257,48773,4,3759,1500,5,3,4,1750,4,2,2259,2009,1,5,0
distances,Petersburg,29,258,47333,1,3759,1000,6,2,6,3575,5,3,2759,184,1,6,0
distances,Petersburg,29,258,47520,2,3759,4000,6,2,4,2095,2,3,241,1664,0,4,0
distances,Petersburg,29,258,51803,3,3759,3500,5,3,4,3500,3,2,259,259,0,4,0
distances,Petersburg,29,259,44611,1,3759,6000,5,2,5,7500,3,3,2241,3741,0,6,0
distances,Petersburg,29,259,49112,2,3759,4000,7,1,5,5000,2,1,241,1241,0,5,0
distances,Petersburg,29,259,45584,3,3759,"9,000",6,2,5,8000,3,2,5241,4241,1,5,0
distances,Petersburg,29,260,39718,1,3759,2700,4,6,4,3500,5,2,1059,259,1,3,0
distances,Petersburg,29,260,50367,2,3759,"8,000",5,6,5,3500,6,1,4241,259,1,6,0
distances,Petersburg,29,261,51060,1,3759,6500,6,1,5,5555,3,6,2741,1796,1,4,1
distances,Petersburg,29,261,50931,2,3759,3000,6,2,6,5000,2,5,759,1241,0,5,1
distances,Petersburg,29,261,50393,3,3759,5000,6,2,6,1000,1,5,1241,2759,0,3,1
distances,Petersburg,29,261,43327,4,3759,3000,6,3,6,6000,3,5,759,2241,0,5,1
distances,Petersburg,29,261,51544,5,3759,7000,6,3,1,7600,3,3,3241,3841,0,5,1
distances,Petersburg,29,262,45466,1,3759,6000,4,4,5,5000,1,3,2241,1241,1,7,1
distances,Petersburg,29,262,45596,2,3759,5000,6,2,5,4700,5,3,1241,941,1,5,1
distances,Petersburg,29,262,31277,3,3759,"5,000",3,6,4,"5,000",6,2,1241,1241,0,4,1
distances,Petersburg,29,262,51279,4,3759,7000,5,3,2,4900,6,3,3241,1141,1,6,1
distances,Petersburg,29,263,50708,1,3759,5980,6,2,3,5812,1,4,2221,2053,1,4,1
distances,Petersburg,29,263,48432,2,3759,6700,6,2,5,6200,4,4,2941,2441,1,5,1
