task,trial,network,pre_influence,post_influence,individual_error,mean_individual_change,crowd_pre_influence,crowd_post_influence,mean_group_change
1,aggregated081113_1518,Social,150,300,0.2845462535344855,-0.9779235700823813,1.3818189743349545,0.4038954042525733,-0.9779235700823812
1,aggregated081113_1518,Social,150,150,0,-0.9779235700823813,1.3818189743349545,0.4038954042525733,-0.9779235700823812
1,aggregated081113_1518,Social,3000,75,-1.8939841659685857,-0.9779235700823813,1.3818189743349545,0.4038954042525733,-0.9779235700823812
1,aggregated081113_1518,Social,600,200,-1.0986122886681096,-0.9779235700823813,1.3818189743349545,0.4038954042525733,-0.9779235700823812
1,aggregated081113_1518,Social,10,155,-2.740840023925201,-0.9779235700823813,1.3818189743349545,0.4038954042525733,-0.9779235700823812
1,aggregated081113_1518,Social,180,155,0.1495317339709638,-0.9779235700823813,1.3818189743349545,0.4038954042525733,-0.9779235700823812
1,aggregated081113_1518,Social,1000,300,-1.203972804325936,-0.9779235700823813,1.3818189743349545,0.4038954042525733,-0.9779235700823812
1,aggregated081113_1518,Social,400,400,0,-0.9779235700823813,1.3818189743349545,0.4038954042525733,-0.9779235700823812
1,aggregated081113_1518,Social,30,50,-0.5108256237659905,-0.9779235700823813,1.3818189743349545,0.4038954042525733,-0.9779235700823812
1,aggregated081113_1518,Social,10,170,-2.833213344056216,-0.9779235700823813,1.3818189743349545,0.4038954042525733,-0.9779235700823812
1,aggregated081113_1518,Social,178,180,-0.011173300598125279,-0.9779235700823813,1.3818189743349545,0.4038954042525733,-0.9779235700823812
1,aggregated081113_1518,Social,24,216,-1.8765392771858607,-0.9779235700823813,1.3818189743349545,0.4038954042525733,-0.9779235700823812
1,aggregated081117_1016,Social,100,200,-0.5263839626818433,-0.7688122986411903,1.261844986396869,0.4930326877556789,-0.7688122986411902
1,aggregated081117_1016,Social,2000,300,-1.8971199848858813,-0.7688122986411903,1.261844986396869,0.4930326877556789,-0.7688122986411902
1,aggregated081117_1016,Social,192,215,0.11314265609988125,-0.7688122986411903,1.261844986396869,0.4930326877556789,-0.7688122986411902
1,aggregated081117_1016,Social,100,300,-0.1209188545736789,-0.7688122986411903,1.261844986396869,0.4930326877556789,-0.7688122986411902
1,aggregated081117_1016,Social,150,140,0.06899287148695135,-0.7688122986411903,1.261844986396869,0.4930326877556789,-0.7688122986411902
1,aggregated081117_1016,Social,69,245,-0.6945068000759849,-0.7688122986411903,1.261844986396869,0.4930326877556789,-0.7688122986411902
1,aggregated081117_1016,Social,300,25,1.5072132156935694,-0.7688122986411903,1.261844986396869,0.4930326877556789,-0.7688122986411902
1,aggregated081117_1016,Social,20,220,-2.0405116953116185,-0.7688122986411903,1.261844986396869,0.4930326877556789,-0.7688122986411902
1,aggregated081117_1016,Social,40,68,-0.5306282510621704,-0.7688122986411903,1.261844986396869,0.4930326877556789,-0.7688122986411902
1,aggregated081117_1016,Social,12000,275,-3.775890831103566,-0.7688122986411903,1.261844986396869,0.4930326877556789,-0.7688122986411902
1,aggregated081117_1016,Social,200,300,0.4054651081081644,-0.7688122986411903,1.261844986396869,0.4930326877556789,-0.7688122986411902
1,aggregated081117_1016,Social,30,170,-1.7346010553881064,-0.7688122986411903,1.261844986396869,0.4930326877556789,-0.7688122986411902
1,aggregated081119_1525,Social,90,150,-0.5108256237659906,-0.960867411104639,1.3695276832537053,0.40866027214906625,-0.9608674111046391
1,aggregated081119_1525,Social,50,100,-0.6931471805599454,-0.960867411104639,1.3695276832537053,0.40866027214906625,-0.9608674111046391
1,aggregated081119_1525,Social,11,150,-2.6127400212978853,-0.960867411104639,1.3695276832537053,0.40866027214906625,-0.9608674111046391
1,aggregated081119_1525,Social,210,200,-0.04879016416943202,-0.960867411104639,1.3695276832537053,0.40866027214906625,-0.9608674111046391
1,aggregated081119_1525,Social,25,50,-0.6931471805599452,-0.960867411104639,1.3695276832537053,0.40866027214906625,-0.9608674111046391
1,aggregated081119_1525,Social,2000,140,-2.1126733669334157,-0.960867411104639,1.3695276832537053,0.40866027214906625,-0.9608674111046391
1,aggregated081119_1525,Social,100,150,-0.4054651081081644,-0.960867411104639,1.3695276832537053,0.40866027214906625,-0.9608674111046391
1,aggregated081119_1525,Social,100,110,-0.09531017980432488,-0.960867411104639,1.3695276832537053,0.40866027214906625,-0.9608674111046391
1,aggregated081119_1525,Social,100,150,-0.4054651081081644,-0.960867411104639,1.3695276832537053,0.40866027214906625,-0.9608674111046391
1,aggregated081119_1525,Social,32,200,-1.665818245870208,-0.960867411104639,1.3695276832537053,0.40866027214906625,-0.9608674111046391
1,aggregated081119_1525,Social,1000,100,-1.083053949752257,-0.960867411104639,1.3695276832537053,0.40866027214906625,-0.9608674111046391
1,aggregated081119_1525,Social,30,100,-1.203972804325936,-0.960867411104639,1.3695276832537053,0.40866027214906625,-0.9608674111046391
1,aggregated081121_0739,Social,30,40,-0.2876820724517808,-1.3845275104823405,2.1743502787011937,0.7898227682188532,-1.3845275104823405
1,aggregated081121_0739,Social,5,80,-2.7725887222397816,-1.3845275104823405,2.1743502787011937,0.7898227682188532,-1.3845275104823405
1,aggregated081121_0739,Social,3,500,-3.11665112812767,-1.3845275104823405,2.1743502787011937,0.7898227682188532,-1.3845275104823405
1,aggregated081121_0739,Social,50,80,-0.4700036292457357,-1.3845275104823405,2.1743502787011937,0.7898227682188532,-1.3845275104823405
1,aggregated081121_0739,Social,150,90,0.5108256237659906,-1.3845275104823405,2.1743502787011937,0.7898227682188532,-1.3845275104823405
